id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.4560062,1926100000484998,1965,Sloopvergunning verleend,industriefunctie,700,700,1,"POLYGON Z ((87569.284 451315.55 0, 87582.764 451324.143 0, 87576.306 451334.275 0, 87576.46799999999 451334.378 0, 87596.91099999999 451347.409 0, 87608.833 451328.706 0, 87574.648 451307.134 0, 87569.284 451315.55 0))"
pand.4560855,1926100000485833,1974,Sloopvergunning verleend,"gezondheidszorgfunctie, industriefunctie",220,60877,2,"POLYGON Z ((86338.923 450610.012 0, 86356.87699999999 450622.429 0, 86362.442 450614.025 0, 86344.39599999999 450601.51 0, 86338.923 450610.012 0))"
pand.3968947,503100000028547,1965,Sloopvergunning verleend,bijeenkomstfunctie,200,200,1,"POLYGON Z ((85738.69500000001 448280.459 0, 85746.97 448285.633 0, 85752.442 448276.881 0, 85755.126 448278.556 0, 85754.53999999999 448279.526 0, 85763.963 448285.413 0, 85770.001 448275.768 0, 85765.57399999999 448272.978 0, 85764.981 448273.932 0, 85762.11 448272.155 0, 85762.72500000001 448271.197 0, 85750.808 448263.752 0, 85743.497 448259.169 0, 85741.558 448257.886 0, 85735.484 448267.545 0, 85741.239 448271.15 0, 85741.834 448270.201 0, 85744.186 448271.675 0, 85738.69500000001 448280.459 0))"
pand.4730604,518100000352443,1980,Sloopvergunning verleend,"kantoorfunctie, winkelfunctie",59,87,2,"POLYGON Z ((74995.005 454040.062 0, 75011.04700000001 454026.615 0, 75008.045 454023.059 0, 74991.89 454036.377 0, 74995.005 454040.062 0))"
pand.4731047,518100000352935,1980,Sloopvergunning verleend,"bijeenkomstfunctie, winkelfunctie",57,91,2,"POLYGON Z ((74988.81600000001 454032.741 0, 75005.735 454018.558 0, 75002.655 454014.9 0, 75001.936 454015.507 0, 75001.806 454015.353 0, 74999.24800000001 454017.498 0, 74998.052 454018.501 0, 74992.708 454023.013 0, 74989.075 454026.113 0, 74989.276 454026.345 0, 74985.8 454029.174 0, 74988.81600000001 454032.741 0))"
pand.4731048,518100000352936,1980,Sloopvergunning verleend,"bijeenkomstfunctie, winkelfunctie",47,94,4,"POLYGON Z ((74971.539 453990.935 0, 74975.436 453987.646 0, 74975.622 453987.869 0, 74977.22900000001 453986.529 0, 74977.038 453986.295 0, 74977.164 453984.553 0, 74974.92200000001 453981.87 0, 74976.686 453980.375 0, 74976.15700000001 453979.743 0, 74973.70299999999 453976.812 0, 74973.825 453976.709 0, 74957.272 453990.303 0, 74954.80899999999 453992.392 0, 74958.02800000001 453996.188 0, 74961.035 453999.733 0, 74971.539 453990.935 0))"
pand.10050598,606100000012293,1800,Sloopvergunning verleend,"overige gebruiksfunctie, woonfunctie",218,218,1,"POLYGON Z ((85458.45699999999 437669.265 0, 85458.088 437669.233 0, 85459.499 437655.104 0, 85462.23 437655.347 0, 85462.63099999999 437650.597 0, 85461.573 437647.913 0, 85454.02099999999 437647.27 0, 85453.995 437647.57 0, 85448.539 437647.06 0, 85448.321 437649.392 0, 85450.674 437649.635 0, 85448.878 437668.411 0, 85448.516 437668.381 0, 85448.353 437670.354 0, 85447.35000000001 437670.858 0, 85447.27899999999 437670.853 0, 85447.10799999999 437673.163 0, 85447.196 437673.17 0, 85448.04300000001 437673.862 0, 85447.291 437682.023 0, 85457.27099999999 437682.826 0, 85458.45699999999 437669.265 0))"
pand.10066544,613100000130205,1966,Sloopvergunning verleend,woonfunctie,195,195,1,"POLYGON Z ((88799.08500000001 430044.39 0, 88797.383 430037.552 0, 88799.372 430037.057 0, 88797.929 430031.261 0, 88790.894 430033.012 0, 88791.826 430036.757 0, 88781.001 430039.453 0, 88783.215 430048.342 0, 88789.29399999999 430046.828 0, 88789.71000000001 430048.497 0, 88794.68799999999 430047.258 0, 88794.272 430045.589 0, 88799.08500000001 430044.39 0))"
pand.10069863,1842100000006953,1985,Sloopvergunning verleend,industriefunctie,18840,18840,1,"POLYGON Z ((76333.09699999999 440539.414 0, 76321.978 440560.758 0, 76327.67200000001 440563.977 0, 76320.57799999999 440577.867 0, 76316.45699999999 440586.002 0, 76316.027 440585.784 0, 76304.83199999999 440607.417 0, 76387.285 440650.27 0, 76390.073 440651.731 0, 76479.724 440698.717 0, 76523.925 440613.802 0, 76434.11199999999 440567.094 0, 76428.36 440564.103 0, 76353.114 440525.566 0, 76343.24099999999 440544.764 0, 76333.09699999999 440539.414 0))"
pand.10071115,518100000203376,1950,Sloopvergunning verleend,woonfunctie,80,167,6,"POLYGON Z ((80085.344 454735.448 0, 80083.398 454734.442 0, 80083.784 454733.721 0, 80082.338 454732.968 0, 80080.09299999999 454731.8 0, 80079.72 454732.496 0, 80077.913 454731.529 0, 80078.337 454730.859 0, 80073.66899999999 454728.378 0, 80068.39 454738.435 0, 80074.694 454741.783 0, 80075.76700000001 454742.352 0, 80076.951 454742.981 0, 80085.482 454747.512 0, 80090.682 454737.587 0, 80085.628 454734.789 0, 80085.344 454735.448 0))"
