id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.9071843,1916100000366656,2016,Bouw gestart,winkelfunctie,100,100,3,"POLYGON Z ((86112.444 456160.463 0, 86120.402 456155.607 0, 86100.98 456144.109 0, 86096.754 456151.245 0, 86112.444 456160.463 0))"
pand.9071845,1916100000366658,2016,Bouw gestart,winkelfunctie,100,100,3,"POLYGON Z ((86100.98 456144.109 0, 86120.402 456155.607 0, 86128.34699999999 456150.758 0, 86105.19899999999 456136.985 0, 86100.98 456144.109 0))"
pand.9071846,1916100000366660,2016,Bouw gestart,winkelfunctie,100,100,3,"POLYGON Z ((86105.19899999999 456136.985 0, 86128.34699999999 456150.758 0, 86136.34299999999 456145.879 0, 86109.363 456129.952 0, 86105.19899999999 456136.985 0))"
pand.9071847,1916100000366661,2016,Bouw gestart,winkelfunctie,100,100,3,"POLYGON Z ((86113.564 456122.857 0, 86109.363 456129.952 0, 86136.34299999999 456145.879 0, 86144.099 456140.927 0, 86113.564 456122.857 0))"
pand.9071848,1916100000366662,2016,Bouw gestart,winkelfunctie,100,100,3,"POLYGON Z ((86115.56600000001 456120.189 0, 86113.87699999999 456123.042 0, 86144.099 456140.927 0, 86151.749 456135.881 0, 86129.90300000001 456122.913 0, 86127.29300000001 456127.133 0, 86115.56600000001 456120.189 0))"
pand.9071849,1916100000366663,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86129.90300000001 456122.913 0, 86151.749 456135.881 0, 86159.406 456130.829 0, 86134.08500000001 456115.851 0, 86129.90300000001 456122.913 0))"
pand.9071850,1916100000366664,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86134.08500000001 456115.851 0, 86159.406 456130.829 0, 86167.016 456125.809 0, 86138.299 456108.736 0, 86134.08500000001 456115.851 0))"
pand.9071851,1916100000366665,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86138.299 456108.736 0, 86167.016 456125.809 0, 86174.673 456120.759 0, 86163.731 456114.21 0, 86166.883 456108.888 0, 86145.652 456096.316 0, 86138.299 456108.736 0))"
pand.9071852,1916100000366666,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86163.731 456114.21 0, 86174.673 456120.759 0, 86182.322 456115.713 0, 86170.787 456108.786 0, 86169.72 456110.589 0, 86166.87300000001 456108.903 0, 86163.731 456114.21 0))"
pand.9071853,1916100000366667,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86170.787 456108.786 0, 86182.322 456115.713 0, 86185.61599999999 456113.54 0, 86186.16800000001 456113.154 0, 86186.893 456112.523 0, 86187.315 456112.082 0, 86187.909 456111.306 0, 86188.321 456110.678 0, 86188.70699999999 456109.899 0, 86174.93399999999 456101.73 0, 86171.439 456107.677 0, 86170.787 456108.786 0))"
pand.9071854,1916100000366668,2016,Bouw gestart,winkelfunctie,100,100,2,"POLYGON Z ((86178.52 456095.629 0, 86174.93399999999 456101.73 0, 86188.70699999999 456109.899 0, 86188.768 456109.776 0, 86188.88499999999 456109.388 0, 86189.17200000001 456108.443 0, 86189.298 456107.676 0, 86189.378 456106.471 0, 86189.215 456105.114 0, 86188.77800000001 456103.599 0, 86188.01700000001 456102.17 0, 86187.014 456100.946 0, 86185.817 456099.95 0, 86178.52 456095.629 0))"
pand.9071856,1916100000366680,2016,Bouw gestart,"bijeenkomstfunctie, winkelfunctie",100,100,6,"POLYGON Z ((86107.45600000001 456128.785 0, 86111.61500000001 456121.76 0, 86097.04300000001 456113.264 0, 86093.04700000001 456120.014 0, 86092.99099999999 456120.185 0, 86107.45600000001 456128.785 0))"
pand.9071857,1916100000366681,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86111.61500000001 456121.76 0, 86115.95699999999 456114.429 0, 86102.30499999999 456106.345 0, 86101.443 456105.834 0, 86097.04300000001 456113.264 0, 86111.61500000001 456121.76 0))"
pand.9071859,1916100000366684,2016,Bouw gestart,winkelfunctie,100,3679,4,"POLYGON Z ((86114.651 456207.538 0, 86119.62 456199.346 0, 86117.882 456198.288 0, 86122.039 456191.463 0, 86101.01300000001 456178.659 0, 86100.94899999999 456178.7 0, 86098.24099999999 456180.916 0, 86096.804 456182.492 0, 86098.03 456183.238 0, 86096.864 456185.152 0, 86112.947 456194.98 0, 86107.804 456203.426 0, 86114.651 456207.538 0))"
pand.9071860,1916100000366686,2016,Bouw gestart,"bijeenkomstfunctie, winkelfunctie",100,100,3,"POLYGON Z ((86101.01300000001 456178.659 0, 86122.039 456191.463 0, 86129.139 456195.787 0, 86133.348 456188.875 0, 86108.55100000001 456173.835 0, 86101.01300000001 456178.659 0))"
pand.9071861,1916100000366687,2016,Bouw gestart,winkelfunctie,100,100,3,"POLYGON Z ((86133.348 456188.875 0, 86137.46000000001 456182.124 0, 86132.156 456178.892 0, 86116.015 456169.059 0, 86108.55100000001 456173.835 0, 86133.348 456188.875 0))"
